eDISK_ID,Name,CUI,Background,Safety,Mechanism of action,Source Material,Common Names,MSKCC_Name,NHP_Name,DSLD_Name,DDSAE_Name,Twitter_Name,SuppKG_Name,SuppAI_Name,EHR_Name
DSI000095,evening primrose oil,C0700602,"Derived from the plant Oenothera biennis, evening primrose oil is used for rheumatoid arthritis, premenstrual syndrome, eczema, fatigue, diabetic neuropathy, and mastalgia. The mucilaginous stem and leaf juices have been used as a poultice to treat minor bruises and wounds, and soothe skin inflammation . Evening primrose oil is thought to improve skin moisture and reduce transepidermal water loss . It is also among the popular natural products used to relieve menopausal symptoms . In vitro, evening primrose oil demonstrates anti-inflammatory activity and inhibits platelet aggregation . In animal models, it exerts anti-angiogenic, anti-inflammatory, and anti-arthritic effects , and improved cardiac recovery after myocardial infarction . Human studies on whether evening primrose oil is helpful for skin conditions are limited and mixed. Small trials suggest benefit in atopic dermatitis , but other analyses did not find evening primrose oil or borage oil effective for eczema . In acne patients treated with oral isotretinoin, evening primrose oil may improve xerotic cheilitis . It may also reduce 5-azacitidine-induced skin reactions in patients with myelodysplastic syndrome . Other preliminary data suggest benefit in some lipid profiles , rheumatoid arthritis symptoms , ulcerative colitis , or for ocular surface diseases such as dry eye , but early studies in diabetic neuropathy were equivocal . More recently, gamma-linolenic acid (GLA) derived from evening primrose oil was found noninferior to alpha-lipoic acid for reducing pain in patients with diabetic neuropathy . In multiple sclerosis patients, evening primrose oil may improve fatigue and quality of life , and along with hemp seed and a diet high in antioxidants, it may improve clinical and immunological parameters . Additional data indicate that supplementation with vitamin E and evening primrose oil reduced cyclical mastalgia , but other analyses did not find improvements in breast pain or premenstrual syndrome . Evening primrose oil may improve quality of life and decrease hot flash intensity in menopausal women , although other data suggest that behavioral/lifestyle approaches such as exercise provide better relief . In postmenopausal women, it improved related psychological symptoms , but more study is needed to confirm these effects. Studies in cancer patients are quite limited, with one trial involving liver cancer patients that showed no effect on tumor size or survival , and another that suggested GLA may be an effective adjunctive therapy for breast cancer . Although evening primrose oil does not have intrinsic estrogenic properties, some commercial products combine evening primrose oil with phytoestrogens. Therefore, patients with hormone-sensitive cancers should use evening primrose oil products with caution.",,"Evening primrose oil is rich in the omega-6 fatty acid GLA, which can be converted directly to the prostaglandin precursor dihomo-GLA (DGLA) (2) (3). Administration of the oil may benefit individuals unable to metabolize cis-linolenic acid to GLA, producing subsequent intermediates of metabolic significance including prostaglandins (2) (3).
In vitro, long-chain fatty alcohols such as hexacosanol, tetracosanol, docosanol, and octocosanol demontrated anti-inflammatory activity (29). In animal models, benefits on cardiac recovery after myocardial infarction were attributed to its hypocholesterolemic effect and indirect influence on prostaglandins and cytokine synthesis (31). In arthiritis models, evening primrose oil normalized body weight, angiopoietin-1, and TNF-alpha levels, and reduced malondialdehyde levels, synovial hyperplasia, and inflammatory cell invasion in joint tissues (30).
In patients with multiple sclerosis, evening primrose oil accelerates anti-inflammatory responses and prevents pro-inflammatory cytokine production while helping to maintain fatty acid membranes and optimizing balance between saturated and unsaturated fatty acids (40). Increases in plasma GLA and its metabolite DGLA seen with evening primrose oil supplementation has correlated with clinical improvements in atopic dermatitis (32) and produced dose-dependent effects on serum fatty acid levels and eczema severity scores (25). Inhibition of cheilitis is attributed to GLA’s effects on stratum corneum maturation, differentiation, and preservation of its permeability barrier (34). Antiplatelet and anticoagulant effects are likely related to decreased thromboxane B2 synthesis induced by evening primrose oil (46) (47).",Oenothera biennis - Seed,Evening primrose oil | Night willow herb | Fever plant | King's cure-all,Evening Primrose Oil,Evening primrose oil | Evening Primrose Oil,evening primrose oil | Evening Primrose oil,,,DC0700602,,
DSI000096,fenugreek,C0060207,"Fenugreek is derived from the dried seeds of the plant, with a scent and taste similar to maple syrup. It is used in ayurvedic medicine as a demulcent, laxative, and to increase breast milk supply. It is also used as a dietary supplement to treat various conditions including diabetes, high cholesterol, wounds, inflammation, and gastrointestinal complaints.Preclinical studies suggest fenugreek has hypocholesterolemic , hypolipidemic , hypoglycemic , antimicrobial , hepatoprotective , and antinociceptive effects.Data in humans are limited. Small studies showed benefits of fenugreek for mild asthma , metabolic syndrome , as well as menopausal , postmenopausal , polycystic ovary syndrome symptoms , and Alzheimer’s disease . Data also suggest it may improve exercise performance , lipid parameters and glycemic control , and decrease insulin resistance in type-2 diabetic patients . More research is needed to confirm these effects .Fenugreek demonstrated chemopreventive and chemoprotective properties , but human studies have not been conducted. Fenugreek also acts as an estrogen receptor modulator and stimulates breast cancer cells in vitro , but evidence of its potential to stimulate lactation is limited .",,"The hypoglycemic activity of fenugreek may be associated with the galactomannan fiber and saponin components that reduce gastrointestinal glucose and cholesterol absorption, and increase bile acid excretion (14). 4-Hydroxyisoleucine, an amino acid constituent, potentiates insulin secretion in non-insulin-dependent diabetic rats when administered intraperitoneally (15). In addition to lower fasting and postprandial glucose levels, fenugreek-treated diabetic rats had higher hemoglobin, GSH, and plasma antioxidant levels and lower glycosylated hemoglobin, plasma lipids, and TBARS levels than diabetic controls (4). Dietary fenugreek also normalizes the activities of glucose and lipid-metabolizing enzymes in diabetic rats (3). Other animal studies suggest dietary fenugreek increases serum T4, liver GSH, glyoxalase I, and GST activities, and decreases T3 levels and T3/T4 ratio (17) (18) (19). In humans, fenugreek intake was associated with an increase in molar insulin binding sites of erythrocytes, which may enhance glucose utilization (16).Fenugreek has also been studied for its anticancer potential. In MCF-7 estrogen receptor-positive breast cancer cells, a fenugreek extract induced cell cycle arrest and apoptosis (9). Dioscin, a steroidal saponin isolated from fenugreek, suppressed cell viability of ovarian cancer cells by regulating VEGFR2, PI3K, phosphorylated AKT and phosphorylated p38 MAPK signaling pathways (39).In a case report of serotonin syndrome likely caused by an interaction between fenugreek and sertraline, the authors point to animal studies that posit 4-hydroxyisoleucine may increase serotonin turnover in the brain (47).",Trigonella foenum-graecum - seed | nan,Bird's foot | Greek hayseed | Bockshornsame | Methi | Hu lu ba | Fenugreek | foenum-graecum trigonella | trigonella foenum graecum | Sicklefruit Fenugreek | Foenumgraecum | Poenumgraecum,Fenugreek,Trigonella foenum-graecum | Fenugreek,Fenugreek,Fenugreek,,DC0060207,C0060207,
DSI000097,feverfew,C0376266,"Feverfew is a plant that belongs to the daisy/sunflower family. It is widely used in traditional medicine for the treatment of fevers, migraine headaches, rheumatoid arthritis, stomach ache, toothache, insect bites and infertility. Although much of its activity is attributed to the compound parthenolide, a parthenolide-free extract of feverfew demonstrated free radical-scavenging properties, affording protection against UV-induced sun damage . Feverfew extracts also possess antiprotozoal , antibacterial , anti-inflammatory , and antioxidant properties. In clinical studies, a feverfew extract reduced the frequency of migraine attacks ; a formulation containing feverfew was reported useful in decreasing the duration of aura ; and a feverfew/ginger formula prevented mild headache before the onset of moderate to severe headache in patients with migraine . In another study, a combination of feverfew and acupuncture treatments led to greater improvements in quality of life in women with migraine, compared with feverfew or acupuncture alone . A systematic review found the overall evidence of efficacy for migraine to be mixed, citing the need for high-quality research . In another study, feverfew did not benefit patients with rheumatoid arthritis . In addition, parthenolide demonstrated anticancer effects in vitro . A phase I clinical study involving cancer patients showed that up to 4 mg of parthenolide was well tolerated; however, it could not be detected in the plasma . Consequently, a synthetic analog dimethylamino-parthenolide (DMAPT), a more hydrophilic form of parthenolide, with greater bioavailability was identified. Oral administration of DMAPT has been found to be safe, and resulted in increased plasma concentrations in an animal model . More studies are warranted.",,"The sesquiterpene lactones, particularly parthenolide, are the active constituents responsible for feverfew’s beneficial effects. Parthenolide attenuates activation of the NF-kappa B complex to block transcription of inflammatory proteins (21). The inhibition of this pathway also leads to decreased platelet activity (22). Other mechanisms that produce antiplatelet activity by parthenolide include sulfhydryl group alterations, changes in protein kinase C interactions, and arachidonic acid metabolism (22) (23) (24). The flavonol content also has anti-inflammatory effects (25) (26).
In vitro studies suggest various activities induced by parthenolide can produce antiproliferative effects. In colorectal cancer cells, it suppresses angiogenesis by reducing VEGF and VEGF-receptor expression. (10) In cervical and breast cancer cell lines, parthenolide modulates apoptosis-regulating gene expression (11) and activates both apoptosis pathway and AMPK-autophagy survival pathway through ROS generation (12). In glioblastoma cells, it induces caspase 3/7-mediated apoptosis independent of NF-kappa B suppression (27). Parthenolide sensitizes the tumor necrosis factor-related apoptosis-inducing ligand (TRAIL) leading to apoptosis via activation of both caspases 8 and 3 in hepatocellular carcinoma cells (17).",,Featherfew | Santa Maria | wild chamomile | wild quinine,Feverfew,,Feverfew,,,DC0376266,,
DSI000098,flaxseed,C0023753,"Flaxseed, rich in omega-3 fatty acids and phytoestrogenic lignans, is used in traditional medicine to treat coughs, colds, constipation, urinary tract infections, and as a topical demulcent and an emollient. In clinical studies, flaxseed improved mild menopausal symptoms ; and exerted chemoprotective effects along with affecting moderate reductions in estrogens and androgens in postmenopausal women. It may also benefit women with polycystic ovarian syndrome by reducing androgen levels ; and flaxseed powder combined with Vitex agnus may help reduce cyclical mastalgia . Supplementation with a major lignan derived from flaxseed improved glycemic control in Type-2 diabetic patients . But it was ineffective in reducing hot flashes in postmenopausal women with or without breast cancer . In other studies, flaxseed products were found to reduce blood pressure but did not improve insulin resistance or glycemic indices in pre-diabetic patients although conflicting data suggest otherwise . Supplementation along with lifestyle modification was more effective than lifestyle modification alone to manage metabolic syndrome and non-alcoholic fatty liver disease . Systematic reviews determined that flaxseed may have a role in decreasing appetite and hunger and in preventing cardiovascular events by inhibiting platelet aggregation . It was also found more effective than lactulose and psyllium for improving symptoms of constipation . In patients with ulcerative colitis, both flaxseed and flaxseed oil may affect reductions in systemic inflammation as well as disease severity . In addition, daily flaxseed oil consumption significantly decreased inflammatory markers related to cardiovascular disease , and may help reduce bone resorption in hemodialysis patients. Flaxseed was also shown to confer renoprotection in patients with lupus nephritis ; and may benefit patients with rheumatoid arthritis . Although flaxseed-derived lignan reduced blood glucose levels in hypercholesterolemic individuals , data on its cholesterol-lowering effects are mixed . Preclinical studies suggest that flaxseed may inhibit growth and metastasis of human breast , prostate cancers and melanoma ; and reduce radiation therapy-induced lung damage and improve survival . It was also shown to lower tumor biomarkers in patients with prostate and breast cancer ; and may confer protection against radiation-induced adverse effects in lung cancer patients although such effects could not be accurately determined due to poor tolerability of flaxseed . In other studies, a flaxseed extract was ineffective in preventing oral infection following radiation treatment in head and neck cancer patients ; and supplementation with secoisolariciresinol diglucoside, a lignan, was not superior to placebo in reducing proliferation in benign breast tissue of premenopausal women at increased risk of breast cancer . Flaxseed ingestion can increase urinary lignan excretion and the length of luteal phase of the menstrual cycle . Because flaxseed has phytoestrogenic effects, patients with estrogen receptor positive (ER+) breast cancer should consult their physicians before using it.",,"Flaxseed is the most concentrated food source of the plant lignan, secoisolariciresinol, a precursor for enterolactone. It is thought that phytoestrogenic lignans contribute to the plant’s hormonal effects (4). Flaxseed has been shown to affect the length of the menstrual cycle in premenopausal women (5). It may also alter estrogen metabolism, increasing the ratio of 2-hydroxyestrogen to 16 alpha-hydroxyestrone in a dose-dependent fashion (2). The renoprotective effects of flaxseed are thought to be due to high concentration of alpha-linolenic acid, an omega-3 fatty acid precursor (3) or through inhibition of angiogenesis, tyrosine protein kinases, and cytokine-induced activation of transcription factors (16). The laxative effects of flaxseed are likely due to its fiber content (22).
Animal studies suggest inhibition of growth and metastasis of established human breast cancer with flaxseed is due in part to downregulation of insulin-like growth factor I and expression of the epidermal growth factor receptor (6). Flaxseed also induced apoptosis by significantly upregulating p53 mRNA in breast cancer cell lines (29). In another study, flaxseed oil enhanced effects of trastuzumab in reducing HER2 signaling via Akt and mitogen-activated protein kinase (MAPK) pathways, resulting in reduced cell proliferation and increased apoptosis (33). Inhibition of cell proliferation with flaxseed was also reported in models of prostate cancer (7).
In human studies, dietary flaxseed reduced central aortic blood pressure through changes in plasma oxylipins (40) (41). Other studies suggest hormonal effects may play a role in the ability of flaxseed to modulate prostate cancer biology and associated biomarkers (9), and lower serum lipid levels in postmenopausal breast cancer (10).",Seed oil | Milled seed,Flax | Linseed | Lint bells | Linum,Flaxseed,Flax | Flaxseed,Flax | Flaxseed | False Flax,Flaxseed,,DC0023753,,
DSI000099,folate,C0178638,"Folate is an essential member of the vitamin B complex family that is naturally present in grains, green leafy vegetables, and liver. Folic acid and the L-methylfolate derivative are synthetic supplemental forms that have higher bioavailability . Folate is important for cell growth and division, and is involved in methylation and DNA synthesis. Inadequate intake can cause deficiency leading to megaloblastic anemia. Folate is essential during pregnancy, with supplementation shown to reduce risks of neural tube birth defects and medulloblastoma in offspring . A study among South American populations suggests the protective effect against neural tube defects may be greater in female than male infants . In high doses (5 mg/day), it reduced homocysteine levels at time of delivery and may lessen pregnancy complications . Supplementation may also benefit women with polycystic ovary syndrome along with improving BMI , but supplements taken beyond the first trimester did not prevent pre-eclampsia in women at high risk for this disorder . In a large multicenter trial, folic acid and zinc supplementation by male partners of couples seeking infertility treatment did not improve semen quality or live birth rates . In postmenopausal women, folic acid may help reduce hot flushes, but confirmatory data are needed . In older adults, folic acid supplementation may improve cognitive function . In patients with Alzheimer’s disease, it improved response to cholinesterase inhibitors , cognition, and inflammatory markers . However, high folate / low vitamin B-12 status has been associated with impaired cognitive function in older adults . And although folic acid along with docosahexaenoic acid improved cognitive function and decreased plasma inflammatory cytokines better than each supplement alone in one study , other data suggest benefits with folic acid on cognitive function occur in those with a lower, rather than higher, omega-3 fatty acid status . But a combination of folic acid and vitamin-B12 did not affect the risk of fracture or cardiovascular disease in this population . Folic acid decreases homocysteine levels, a risk factor for cardiovascular disease (CVD) mortality , improves BMI in those with high homocysteine levels along with lowering blood pressure in smokers and in patients with CVD and overweight individuals . A combination of folic acid and vitamin B12 supplements also decreased homocysteine levels and improved anemia in patients with multiple sclerosis , but evidence is limited on whether supplementation has an effect on anemia in patients with sickle cell disease . Among hypertensive adults, folic acid therapy reduced risk of first stroke , but smoking status may affect efficacy . Other trials on stroke risk have yielded mixed results with meta-analyses confirming reductions in the risks of cardiovascular disease and stroke . In other studies, folate lowered blood arsenic concentrations of chronically exposed individuals by facilitating its urinary excretion . It was also associated with lower risk of progression of early-to-late age-related macular degeneration and when added to antipsychotics, may improve symptoms in schizophrenic patients , but did not have any significant effects on memory . Studies of folate vs cancer risk are mixed. Deficiency has been linked to development of esophageal squamous cell cancer and low levels of folate in the blood with certain forms of cancer , whereas higher levels of dietary folate may reduce the risk of breast and pancreatic cancers , but not prostate cancer . Folate supplementation may help cervical intraepithelial neoplasia regression , but studies on colorectal cancer risk produced mixed results and some even suggest a negative effect . A large population study suggested an association between dietary folate intake and increased risk for overall skin cancer, basal cell carcinoma, and non-melanoma skin cancer, particularly in women . Over-consumption of folic acid supplements may also increase risk of toxicity and some cancers . In young children, folic acid fortification was associated with reduced incidence of Wilms tumor and primitive neuroectodermal tumors . Studies of folic acid in combination with other B vitamins reported negative findings, with no overall effect on breast or invasive cancers , along with the potential for increased cancer incidence and mortality in patients with ischemic heart disease . Such interventions have also produced mixed results in studies for older adults with depression , and did not improve bone mineral density or reduce fracture risk or incidence . Further studies are needed for more definitive data. Due to its antagonistic effects, folic acid can reduce the side effects of methotrexate when used for rheumatoid arthritis . However, it may decrease the efficacy of methotrexate in the treatment of acute lymphoblastic leukemia and psoriasis . Excess folate or folic acid may mask vitamin B12 deficiency . More research is needed to address the evidence and knowledge gaps related to the effects of higher intake of folate/folic acid on human health .",,"Folate acts as a co-enzyme during methylation. The bioactive form is tetrahydrofate, which can be converted from folic acid through the action of dihydrofolate reductase. Drugs that inhibit this enzyme can therefore reduce folic acid activity. The amino acid serine reacts with tetrahydrofolate, resulting in 5,10- methylenetetrahydrofolate, the derivative involved in nucleotide synthesis. In addition, 5-methyltetrahydrofolate transfers a methyl group to cobalamin (vitamin B12) and then to homocysteine, converting it to methionine, the precursor of methyl donor, S-adenosyl-methionine (SAM-e) that plays a major role in neurological function and several biochemical pathways (41). Genetic polymorphisms that lower the production of methylenetetrahydrofolate reductase can also reduce SAM-e and increase homocysteine levels. Supplementation with folic acid can therefore reduce homocysteine levels and DNA oxidative damage (57) (58). This may in turn lower risk of cardiovascular and psychiatric diseases by increasing SAM-e (59) (60). Folic acid supplementation also improves endothelial function (16) (31); and has a protective effect on retinal vascular endothelial cells from high glucose-induced injury via regulating proteins in the Hippo signaling pathway (76).
Although low folate status is associated with increased risk of cardiovascular disease and some cancers (61), increased intake from fortified foods may actually raise cancer risk (49) (50) (62). There is also evidence that high levels of unmetabolized folic acid in plasma can reduce natural killer cell cytotoxicity (63).","Main sources include fortified breakfast cereals and breads, liver, Brussels sprouts, potatoes, spinach, chickpeas, and brewer’s yeast. | Folate",Folic acid | Vitamin B9 | folates | 2-[4-[(2-amino-4-oxo-1H-pteridin-6-yl)methylamino]benzoyl]aminopentanedioic acid | Vitamin B-11,Folate,Folate,Folate | Vitamin B9 (Folate),,,DC0178638,C0178638,
DSI000100,forskolin,C0917964,"Forskolin is a diterpene derived from the root of Coleus forskohlii. It has been used for centuries in Ayurvedic medicine to treat a variety of conditions including heart disease, respiratory disorders, and hypothyroidism. However, studies are quite limited and only a few actually use forskolin as an oral supplement. Laboratory studies suggest it has inotropic and antiplatelet properties . In animal models, forskolin promoted activation of adenylate cyclase and increased intracellular concentrations of cyclic adenosine monophosphate . Treatment of uropathogenic E.coli-infected mice with forskolin reduced bacteria . Small clinical studies suggest that forskolin may help weight management or reduce asthma attacks . When administered intravenously or inhaled, forskolin had a bronchodilation effect . Preliminary findings also suggest intraoperative infusion of forskolin may benefit cardiovascular health due to anti-inflammatory effects or that intraarterial forskolin daropate may improve cerebral vasospasm in patients with aneurysmal subarachnoid hemorrhage . Forskolin and its derivatives showed anticancer effects . When applied on the skin of mice, forskolin stimulated production of melanin in the absence of ultraviolet light . It has been proposed for use in sunless tanning lotions to reduce skin cancer risk by decreasing sun exposure. A forskolin extract reduced viral production in human lymphoid CEM-GFP cells infected with human immunodeficiency virus (HIV-1NL4) . However, these effects have yet to be confirmed in clinical studies.",,"Forskolin activates adenylate cyclase through direct stimulation and modulation of enzyme activities, leading to increased intracellular concentrations of cyclic adenosine monophosphate (cAMP) (1). This may explain bronchodilation (4) (5) (6), inotropic (7), vasodilatory (16), and antiplatelet (11) effects. Forskolin also increased cellular acetylcholinesterase and protected neuronal cells from organophosphate toxicity (17).
Preclinical studies suggest forskolin and derivatives may inhibit cell proliferation, and induce cell cycle arrest and apoptosis in human gastric cancer cells (18) (19). Forskolin upregulated expression of cytochrome P450 3A family via the pregnane-X-receptor that regulates CYP3A genes (20) (21).",,Makandi | Colforsin,Forskolin,,Forskolin,,,DC0917964,,
DSI000101,fucoidan,C0060794,"Fucoidan is a sulfated polysaccharide found in the cell walls of many species of brown seaweed. In vitro studies show that it has antitumor, antiangiogenic , antiviral , antiarthritic , and immunomodulatory effects. Fucoidan also exhibited neuroprotective , radioprotective , and antiulcer properties. In animal models, fucoidan exerts anti-inflammatory effects to protect against various organ injuries and improved inflammatory pathology of acute colitis . Although a high molecular weight fucoidan did not improve outcomes in mice following intracerebral hemorrhage, it is suggested that low-molecular-weight fucoidans have increased therapeutic potential and should be evaluated for this purpose . In humans, dietary fucoidan modulates platelet aggregation via anti-thrombotic effects . In overweight or obese adults, fucoidan over 3 months decreased diastolic blood pressure and LDL cholesterol, and increased insulin secretion . Fucoidan also decreased pro-viral load in a small group of patients with human T-lymphotropic virus type-1-associated neurological disease . Fucoisan consumption for one month prior to influenza vaccination may boost post-vaccination antibody production in immune-compromised elderly . Preclinical data suggest that fucoidan can help relieve cyclophosphamide-induced intestinal mucosal injury by altering gut flora, resulting in reduced inflammation . Oral fucoidan in a small group of volunteers improved mobilization of hematopoietic progenitor stem cells with high levels of CXCR4 expression . In advanced cancer patients, fucoidan coadministration enabled patients to continue chemotherapy, regulated fatigue , and reduced levels of pro-inflammatory cytokines . Because fucoidan demonstrates anticoagulant and antithrombotic activities, it may have additive effects when taken with anticoagulants. In a small study of breast cancer patients, co-administration of fucoidan with either of two hormonal therapies, letrozole or tamoxifen, was well tolerated and did not result in any clinically significant interactions .",,"In vitro, a low-molecular-weight fucoidan inhibited human rheumatoid arthritis fibroblast synoviocytes and triggered apoptosis via decreased expression and secretion of MMP-1, -3, and -9, and suppression of NF-kB binding activity, p65 nuclear translocation, and IkappaB-alpha degradation (18). In animal models, fucoidan protected against liver injury via suppression of the inflammatory signaling pathway, inflammatory mediators, and inflammatory cell infiltration (20). It also reduced production of cyclooygenase-2 and NO, while increasing expression of the hepatoprotective enzyme hemeoxygenase-1 on murine liver and HepG2 cells (21). Fucoidan suppressed inflammation in an ultraviolet B-irradiated mouse model, decreasing thickness of the prickle cell layer and MMP-1 (19).
In humans, dietary fucoidan shortens lysis time of the thrombus by elevating prostacyclin secretion caused by increased H2O2 production in the blood (24). Various antitumor, antiviral and immune-modulating effects are attributed to NK cell stimulation, and downregulation of transcription factor AP-I and IGF-IR signaling (2) (3) (32). In melanoma cells, it increased lapatinib effects via ERBB3 inhibition (33). In human colorectal cells, it reduced tumor-promoting M2 macrophages and in combination with etoposide, prevented HCT116 tumorigenicity (34). Neuroprotective effects are attributed to suppression of TNF-alpha- and IFNγ-induced NO production in C6 glioma cells (11) and to antioxidative effects (12). Fucoidan inhibits metastasis by preventing adhesion of tumor cells to the extracellular matrix (4). It induced apoptosis of human T-cell leukemia virus type I that causes adult T-cell leukemia by inactivating NF-kB, which regulates antiapoptotic proteins (3). In a murine model, fucoidan suppressed angiogenesis induced by sarcoma 180 cells (5).",Several species of brown seaweed | Undaria pinnatifida -  whole plant,Sulfated alpha-L-fucan | Fucoidin | Fucan | Mekabu fucoidan,Fucoidan,Fucoidan,Fucoidan,,,DC0060794,,
DSI000102,Garcinia gummi-gutta,C3587021,"Garcinia gummi-gutta, better known by its older name Garcinia cambogia, is a plant native to Southeast Asia. The fruit rinds have antioxidant and anticholinesterase activities , and are used as a flavoring agent and in traditional medicine to treat gastrointestinal ailments. The extract, rich in hydroxycitric acid (HCA), can be found in many products promoted for weight loss or body building. In animal studies, G. cambogia increased satiety, fatty acid oxidation, and weight loss and seemed to protect against high-fat and high-sugar diets . An ethanol extract of garcinia also showed erythropoietic effects . In humans, clinical trials are limited. HCA did not decrease caloric intake, promote satiety, or affect fat oxidation , but improved glycogen synthesis and insulin sensitivity in a small study . Other preliminary data suggest garcinia may improve HDL levels, but have minimal effects on other plasma lipids . Results from RCTs are mixed, but show no significant effect of G. cambogia extract over placebo for weight reduction . A combination of G. cambogia with orlistat had more effects on cardiometabolic profiles and visceral adiposity index than orlistat alone in obese patients . G. cambogia and HCA supplements have been associated with liver toxicity, mania, and herb-drug interactions. Patients who have cancer, diabetes, depression, or other chronic diseases, or women who are pregnant should use G. cambogia with caution. G. cambogia should not be confused with Garcinia mangostana (Mangosteen).",,"The negative isomer of hydroxycitric acid ((-)-HCA), may be the most active chemical compound of G. cambogia fruit rind. HCA is theorized to affect weight loss via decreased fatty acid synthesis, appetite suppression, and increased fatty acid metabolism. It competitively inhibits ATP-citrate lyase, the enzyme that catalyzes the conversion of citrate to substrates for fatty acid synthesis (3). Increased citrates in the cytoplasm may reduce glycolysis and increase glycogen synthesis. ATP-citrate lyase is also upregulated in cancer cells with high levels of aerobic glycolysis (18).
An animal study observed decreases in leptin and insulin levels in obese mice treated with HCA, which may suggest alterations in glucose metabolism (4). The iron contents in G. cambogia may contribute to the erythropoietic effect observed in animals (7).",Fruit,Garcinia | Tamarind | Brindleberry | Hydroxycitric acid | HCA | Hydroxycut,Garcinia gummi-gutta,Garcinia gummi-gutta,,,,,,
DSI000103,garlic,C0885057,"Derived from the bulb or clove of the plant, garlic is used as a spice and to treat hyperlipidemia, hypertension, atherosclerosis, cancer, and infections. Processing can have a substantial effect on the chemical content of garlic because the volatile oil components are heat-sensitive and certain enzymes are acid-labile. The best measure of total activity of garlic is its ability to produce allicin, which in turn, results in the formation of other active constituents . Studies are mixed on whether garlic preparations can lower cholesterol or blood pressure , but meta-analyses suggest reductions in cardiovascular risk factors . Studies on protective effects against various cancers are also mixed. In a large trial, long-term garlic supplementation was associated with reduced risk of gastric cancer mortality but not incidence , although conflicting data did not find evidence for either . Whether garlic protects against Helicobacter pylori infection is also unclear . Meta-analyses are also mixed on whether garlic intake reduces colorectal cancer risk . Inverse associations have been identified between garlic consumption and risk of endometrial , prostate , and other cancers . Garlic supplementation may also be associated with reduced risk of hematologic malignancies . Because garlic is known to decrease platelet aggregation and potentially elevate INR values, it should not be used with anticoagulants or in patients with platelet dysfunction .",,"Intact cells of garlic contain alliin, an odorless sulfur-containing amino acid derivative. When the cells are crushed, alliin comes into contact with the enzyme alliinase located in neighboring cells and is converted to allicin. Allicin has antibacterial and antimicrobial activity, but is highly odoriferous and unstable. It also has antiplatelet and antihyperlipidemic activities. Most authorities agree that the best measure of total activity of garlic is the ability to produce allicin, which, in turn, results in the formation of other active constituents (1).
In patients with hyperlipidemia, garlic might lower cholesterol levels by acting as an HMG-CoA reductase inhibitor (21). Garlic may also reduce oxidative stress and LDL oxidation and have antithrombotic effects (22). It might reduce blood pressure by causing smooth muscle relaxation and vasodilation (23).
Garlic may stimulate both humoral and cellular immunity, causing T-cell proliferation, restoring suppressed antibody responses (24), and stimulating macrophage cytotoxicity on tumor cells. It may increase selenium absorption with possible protection against tumorigenesis (25). In addition, garlic may protect against certain cancers by halting cell cycle progression and inducing apoptosis of cancer cells as well as by decreasing angiogenesis and influencing carcinogen metabolism (26) (27).",,Nectar of the gods | Camphor of the poor | Da-suan | La-suan | Stinking rose | Allium sativum | dietary supplements garlic | Ajo,Garlic,,Black garlic | Bear Garlic | Garlic,,,,C0993630,
DSI000104,GCP-23339A,C1522026,"A nutritional supplement prepared by fermenting soy extract with medicinal mushrooms, genistein combined polysaccharide (GCP) is composed of genistein, a soy isoflavone; and polysaccharides obtained from mushrooms. Studies have shown that isoflavones influence hormone-dependent cancers due to their estrogenic activity. Basidiomycetes, which include mushrooms, express immune-stimulant and antitumor activity.GCP was found to reduce androgen receptor and prostate specific antigen (PSA) levels, induce cell growth arrest, and modestly increase apoptosis in prostate cancer cells, . It also inhibited cell growth along with inducing apoptosis in androgen-dependent and -independent human prostate cancer cell lines ; as well as potentiated the cytostatic and cytotoxic activities of docetaxel, bicalutamide, and the sRC kinase inhibitor, pp2 . Another study found that GCP treatment resulted in significant inhibition of cell proliferation and arrested the cell cycle in the G2/M phase in three human lymphoid cell lines .Case reports show complete regression of T3 prostate cancer following treatment with GCP ; and supplementation with GCP prevented recurrence of transitional cell carcinoma (TCC) of the bladder . But GCP was not effective in lowering PSA levels in men with low-volume prostate cancer . Large scale clinical trials are needed to verify its anticancer potential.",,"In vitro experiments show that genistein inhibits tyrosine-specific protein kinase activity of EGF receptors. Inhibition is competitive with respect to ATP and noncompetitive to a phosphate acceptor, histone H2B. Genistein bears no structural relationship with ATP, so inhibition may not be due to true competition for the same active site as that utilized by ATP (8). Basidiomycete polysaccharides possess antitumor, antiviral, antibacterial and immune-modulating activities. The fermentation of soy extract with basidiomycetes deglycosylates the soy isoflavones which renders them in a highly absorbable form (7).In prostate cancer cells, GCP was found to inhibit mammalian target of rapamycin (MTOR) activity (4). MTOR is a downstream effector of Akt, an enzyme which plays an important role in cancer cell proliferation and survival (4). (For more information on the mechanism of genistein action, see our monograph on soy.)",,Genistein Combined Polysaccharide,GCP,,,,,,,
